id,station_name,city,country,company,lat,lon,free_bikes
d2bdf894e935e218e45f777ce02c07f8,"Пресненская наб., д.6, стр.2 (Москва-Сити, башня Империя)",Moscow,RU,ЗАО «СитиБайк»,55.7481479,37.5393069,0.0
258f03293d871b1412a25fafc6232fa5,"Нахимовский пр-т, д.11 (ст. м. Нахимовский пр-т, выход №4)",Moscow,RU,ЗАО «СитиБайк»,55.6636625,37.6066403,0.0
cdcc9a5a41aa9faf38f158b38c89207c,"ул. Дмитрия Ульянова, д.46",Moscow,RU,ЗАО «СитиБайк»,55.6794909,37.5953863,0.0
b5ac7c9d8a688cb6c4c1917d92728a9f,ул. Новаторов (пересечение с ул. Воронцовские Пруды),Moscow,RU,ЗАО «СитиБайк»,55.6667781,37.5268164,0.0
55ba4973f043444f1504443fa36c8988,"ул. Академика Пилюгина, д.18",Moscow,RU,ЗАО «СитиБайк»,55.668303,37.5341468,0.0
10e0604a4da53a83e8790f77673a0f59,"Балаклавский пр-т, д.16 (ст. м. Чертановская, выход №3)",Moscow,RU,ЗАО «СитиБайк»,55.6416745,37.604728,0.0
215f6e5abcaf05be2b47397f2e4f6d95,"ул. Вавилова, д.24",Moscow,RU,ЗАО «СитиБайк»,55.7012679,37.5775101,0.0
3aa30024eb5cae4356f038ef5b55ccba,"ул. 10-летия Октября (напротив д.29, к.3, ст. м. Спортивная, выход №2)",Moscow,RU,ЗАО «СитиБайк»,55.723833,37.565242,0.0
6ac4ab99a726e28e6029bf295eb33e32,"ул. Пушечная, д.11",Moscow,RU,ЗАО «СитиБайк»,55.7606867,37.6248436,0.0
3e7375d65c9a6b9bfc8370e01fb537b6,"пр-т Вернадского, ост. Университетский пр-т",Moscow,RU,ЗАО «СитиБайк»,55.700717,37.545765,0.0
bacdd8996f6463e7d11f02b2eedb9425,"ул. Косыгина, д.2, стр.19",Moscow,RU,ЗАО «СитиБайк»,55.708218,37.576594,0.0
497cd1254f4c24d584a766e82a813efc,"ул. Косыгина, д.8, стр.2",Moscow,RU,ЗАО «СитиБайк»,55.706876,37.564743,0.0
3fe8db5c88c237ea7bea477f53d025ac,"ул. Вавилова, д.55/7",Moscow,RU,ЗАО «СитиБайк»,55.691614,37.562443,0.0
e421c7b9473c35f5e9251dc375bfdd13,"Нахимовский пр-т, д.46 (ст. м. Профсоюзная, выход №3)",Moscow,RU,ЗАО «СитиБайк»,55.678516,37.561994,0.0
d5ad964e6d362a7ffb8b03c60c45d788,"Москворецкая наб. (Китайгородский пр., д.9, стр.2)",Moscow,RU,ЗАО «СитиБайк»,55.749635,37.632794,0.0
2d711a7b3018cef0c1d6a8c83d96ffaf,"ул. Маросейка, д.9",Moscow,RU,ЗАО «СитиБайк»,55.7576991,37.634929,0.0
644f76e4700d8f1b98f518cdefa6a5ef,"ул. Пятницкая, д.37",Moscow,RU,ЗАО «СитиБайк»,55.73876,37.62838,0.0
b87f087356889121de4489f42752ed53,"ул. Краснопролетарская (напротив д.2/4, стр.3)",Moscow,RU,ЗАО «СитиБайк»,55.7735332,37.6086074,0.0
b9425fcb0efd0f1fb80f53e7bf66a20f,"ул. Большая Полянка, д.33/41, стр.1",Moscow,RU,ЗАО «СитиБайк»,55.7362414,37.6195157,0.0
3c07d391cee5d4f9029388b6b9dd3ae5,"Кутузовский пр-т, д.7/4, стр.1",Moscow,RU,ЗАО «СитиБайк»,55.7490298,37.5622227,0.0
1825e4e790ca627c2544392f92a88d12,"Нахимовский пр-т, д.24",Moscow,RU,ЗАО «СитиБайк»,55.6712381,37.5838691,0.0
40944fee65180db3903e9ce7f89c4963,"ул. Марии Ульяновой, д.16",Moscow,RU,ЗАО «СитиБайк»,55.6836121,37.5201069,0.0
247156f36c6ad81008835de83ea54aa9,"ул. Гарибальди, д.1А",Moscow,RU,ЗАО «СитиБайк»,55.6787267,37.5326129,0.0
ee84b4b089eb5d95aa5f66b182292032,"Симферопольский б-р, д.4",Moscow,RU,ЗАО «СитиБайк»,55.6592363,37.6080312,0.0
aca13d8d78d2dfcd06b12a0e2d5ff0f2,"ул. Воронцовские Пруды, д.3",Moscow,RU,ЗАО «СитиБайк»,55.6649089,37.5389143,0.0
4a79f86574cc8fd758b48eaee84e368e,"ул. Новочерёмушкинская, д.71/32",Moscow,RU,ЗАО «СитиБайк»,55.6608021,37.5595989,0.0
57f79374fce72d2d86e14589dbc0c692,"ул. Тверская, д.8",Moscow,RU,ЗАО «СитиБайк»,55.762079,37.60962,0.0
433583913e820cc47fcd0e93a0250c84,"Ломоносовский пр-т (дублёр), д.27",Moscow,RU,ЗАО «СитиБайк»,55.699342,37.523769,0.0
0e72aab856b6c0eb170fdf25394ae718,"Большой Патриарший пер., д.7",Moscow,RU,ЗАО «СитиБайк»,55.763584,37.59311,0.0
fb2924c3c127328b5dc40e9cb1a81e58,"ул. Обручева, д.33А",Moscow,RU,ЗАО «СитиБайк»,55.6512748,37.5529893,0.0
ccbcae8cc2c6501b2ea67da2c195afc1,"ул. Обручева, д.65/54",Moscow,RU,ЗАО «СитиБайк»,55.6502405,37.5639941,0.0
fb35f52d324a2e37f0bcbf9bd0bbe8bc,"Балаклавский пр-т, д.34, к.1",Moscow,RU,ЗАО «СитиБайк»,55.6450878,37.5820766,0.0
2ade460057075b8ed1dfa19033317488,"ул. Академика Волгина, д.21",Moscow,RU,ЗАО «СитиБайк»,55.6477514,37.5137244,0.0
1b254e1db8db1bc11ef0b4d12c4f326d,"ул. Островитянова, д.7",Moscow,RU,ЗАО «СитиБайк»,55.6440884,37.4953587,0.0
8bf5620680008b5e7571071a83767488,"ул. Советской Армии, д.2, стр.1",Moscow,RU,ЗАО «СитиБайк»,55.785259,37.6163822,0.0
5d54bc8f6c86c4afa6c8ab377afdce95,"пр-т Мира, д.41, стр.2",Moscow,RU,ЗАО «СитиБайк»,55.7815506,37.6317848,0.0
5804cdaf3942ebc88247e3ae1fdcb153,"пр-т Мира, д.111 (ст. м. ВДНХ, выход к Звёздному бульвару)",Moscow,RU,ЗАО «СитиБайк»,55.8195275,37.6393391,0.0
86e0418b37ca8361daf4b5178bf2a2ac,"ул. Сергея Эйзенштейна, д.1",Moscow,RU,ЗАО «СитиБайк»,55.8277664,37.647529,0.0
733742d27ea638dbf60f6260358618ad,"пр-т Мира, д.163",Moscow,RU,ЗАО «СитиБайк»,55.8339685,37.6541501,0.0
64144ac499badd337161346f2c851b05,"ул. Академика Королёва, д.8А",Moscow,RU,ЗАО «СитиБайк»,55.8217153,37.623526,0.0
0be869e30bfcf874e6263d487029366d,"ул. Яблочкова, д.25",Moscow,RU,ЗАО «СитиБайк»,55.82188,37.5802,0.0
f52e5e1a67201f7940211fa4f827ecea,"ул. Милашенкова, д.12Д",Moscow,RU,ЗАО «СитиБайк»,55.8278585,37.5805768,0.0
20ca0b2f8ef67bc0eefd2b207564e451,"ул. Руставели, д.12/13",Moscow,RU,ЗАО «СитиБайк»,55.8133394,37.5942708,0.0
a4b9ae06c73fc93ba0fdecef0393457f,"ул. Ботаническая, д.4, стр.6",Moscow,RU,ЗАО «СитиБайк»,55.8302838,37.6010653,0.0
412fd98cd638885e634941427a998d21,"1-я Останкинская ул., д.1",Moscow,RU,ЗАО «СитиБайк»,55.8243764,37.617075,0.0
c3520a547dbf69000a44c91ac4af7e02,Продольный пр. (у главного входа ВДНХ),Moscow,RU,ЗАО «СитиБайк»,55.825363,37.6391911,0.0
2f20ba46db27a75b6864365ff1ad29fa,"ул. Академика Королёва, д.15, к.2",Moscow,RU,ЗАО «СитиБайк»,55.8189299,37.6159792,0.0
70a301800a3cc1692f20d3867471a322,"ул. Пятницкая, д.2/38",Moscow,RU,ЗАО «СитиБайк»,55.7456921,37.6265178,0.0
deb361accd2e857434858454dd81e18b,"ул. Большая Татарская, д.19/13",Moscow,RU,ЗАО «СитиБайк»,55.7398418,37.6333164,0.0
728cc735c56ca762c82333add5935f09,"Котельническая наб., д.1",Moscow,RU,ЗАО «СитиБайк»,55.7483533,37.645458,0.0
056ed8bae0089ac93e7fef3ec7c9d88b,"ул. Мясницкая, д.11",Moscow,RU,ЗАО «СитиБайк»,55.7617374,37.6331175,0.0
f1c97c7d5b755cfdce5184abcf672da0,"ул. Академика Волгина, д.6",Moscow,RU,ЗАО «СитиБайк»,55.6527248,37.5192587,0.0
b94546d8c1c074afc5a7ebec79735f7d,"ул. Профсоюзная, д.82, к.1 (ст. м. Калужская)",Moscow,RU,ЗАО «СитиБайк»,55.6565141,37.539523,0.0
